active_months,customer_id,quantity_active_subscriptions
2021-05,65537801,3
2021-05,65570608,4
2021-05,65571284,1
2021-05,65572010,5
2021-05,65573050,3
2021-05,65577914,2
2021-05,65578779,1
2021-05,65579462,1
2021-05,65579541,1
2021-05,65582404,1
2021-05,65583403,1
2021-05,65587093,1
2021-05,65597784,1
2021-05,65628748,2
2021-05,65647327,9
2021-05,65773814,2
2021-05,65785145,2
2021-05,65911915,1
2021-05,65971877,3
2021-06,65537801,3
2021-06,65549276,6
2021-06,65570608,8
2021-06,65571284,1
2021-06,65572010,7
2021-06,65573050,3
2021-06,65577914,2
2021-06,65578779,1
2021-06,65579462,2
2021-06,65579541,1
2021-06,65582404,1
2021-06,65583403,1
2021-06,65584370,3
2021-06,65587093,1
2021-06,65589806,1
2021-06,65597784,1
2021-06,65600881,1
2021-06,65603021,4
2021-06,65628748,4
2021-06,65645681,6
2021-06,65647327,9
2021-06,65773814,2
2021-06,65785145,2
2021-06,65911915,3
2021-06,65971877,3
2021-06,66016661,1
2021-06,66025049,1
2021-06,66036123,2
2021-06,66057793,1
2021-06,66068813,1
2021-06,66083144,1
2021-06,66108497,3
2021-06,66114925,3
2021-06,66162566,1
2021-06,66169544,6
2021-06,66241894,3
2021-06,66289123,1
2021-06,66317256,3
2021-06,66345392,23
2021-06,66355528,3
2021-06,66358935,1
2021-06,66372288,3
2021-06,66372677,4
2021-06,66408844,1
2021-06,66421705,1
2021-06,66422161,1
2021-06,66462565,1
2021-06,66462939,2
2021-06,66467375,7
2021-06,66469052,11
2021-06,66472938,1
2021-06,66479520,1
2021-06,66491345,9
2021-06,66498189,2
2021-06,66522878,1
2021-06,66525168,2
2021-06,66537559,12
2021-06,66561547,3
2021-06,66565734,1
2021-06,66569495,2
2021-06,66604116,3
2021-06,66639949,1
2021-06,66654064,1
2021-06,66659628,1
2021-06,66670911,1
2021-06,66711959,3
2021-06,66781398,1
2021-06,66781448,1
2021-06,66781465,2
2021-06,66781565,1
2021-06,66781627,1
2021-06,66781658,6
2021-06,66781689,8
2021-06,66781906,1
2021-06,66782083,1
2021-06,66782154,2
2021-06,66782172,2
2021-06,66782209,2
2021-06,66782212,1
2021-06,66782253,1
2021-06,66782280,5
2021-06,66782476,4
2021-06,66782533,4
2021-06,66782595,5
2021-06,66782679,4
2021-06,66782684,1
2021-06,66782722,1
2021-06,66782847,2
2021-06,66782881,1
2021-06,66782933,3
2021-06,66783020,3
2021-06,66783085,1
2021-06,66783117,3
2021-06,66783183,3
2021-06,66783188,4
2021-06,66783222,1
2021-06,66783247,2
2021-06,66783294,2
2021-06,66783309,2
2021-06,66783348,5
2021-06,66783408,2
2021-06,66783501,1
2021-06,66783556,1
2021-06,66783635,1
2021-06,66783641,2
2021-06,66783654,1
2021-06,66783696,3
2021-06,66783711,1
2021-06,66783806,1
2021-06,66783862,1
2021-06,66783919,2
2021-06,66784147,3
2021-06,66784244,1
2021-06,66784246,1
2021-06,66784292,1
2021-06,66784341,1
2021-06,66784343,1
2021-06,66784531,1
2021-06,66784624,1
2021-06,66784634,4
2021-06,66784637,9
2021-06,66784716,3
2021-06,66784775,4
2021-06,66784875,2
2021-06,66784921,1
2021-06,66785005,5
2021-06,66785025,1
2021-06,66785028,6
2021-06,66785109,1
2021-06,66785130,1
2021-06,66785170,4
2021-06,66785197,1
2021-06,66785218,3
2021-06,66785233,3
2021-06,66785253,1
2021-06,66785260,1
2021-06,66785299,1
2021-06,66785323,1
2021-06,66785352,1
2021-06,66785388,1
2021-06,66785470,1
2021-06,66785668,14
2021-06,66785701,2
2021-06,66785706,2
2021-06,66785707,1
2021-06,66785787,3
2021-06,66785811,3
2021-06,66785828,1
2021-06,66785865,2
2021-06,66785986,1
2021-06,66786026,6
2021-06,66786189,1
2021-06,66786214,1
2021-06,66786229,1
2021-06,66786250,5
2021-06,66786266,5
2021-06,66786332,1
2021-06,66786388,6
2021-06,66786442,1
2021-06,66786643,2
2021-06,66786704,3
2021-06,66786771,1
2021-06,66786817,2
2021-06,66786827,2
2021-06,66786830,6
2021-06,66786869,2
2021-06,66787026,11
2021-06,66787048,1
2021-06,66787079,1
2021-06,66787098,4
2021-06,66787236,1
2021-06,66787272,3
2021-06,66787276,5
2021-06,66787365,2
2021-06,66787381,1
2021-06,66787407,5
2021-06,66787500,1
2021-06,66787509,2
2021-06,66787533,1
2021-06,66787639,2
2021-06,66787661,1
2021-06,66787667,1
2021-06,66787797,1
2021-06,66787818,1
2021-06,66787825,1
2021-06,66787894,1
2021-06,66787897,1
2021-06,66787949,6
2021-06,66787966,1
2021-06,66788003,5
2021-06,66788004,3
2021-06,66788089,1
2021-06,66788113,1
2021-06,66788140,1
2021-06,66788171,1
2021-06,66788265,2
2021-06,66788320,12
2021-06,66788432,1
2021-06,66788477,1
2021-06,66788588,5
2021-06,66788589,1
2021-06,66788591,1
2021-06,66788611,2
2021-06,66788654,1
2021-06,66788677,1
2021-06,66788695,2
2021-06,66788696,5
2021-06,66788971,3
2021-06,66788979,1
2021-06,66789086,3
2021-06,66789117,9
2021-06,66789134,3
2021-06,66789138,8
2021-06,66789145,1
2021-06,66789156,1
2021-06,66789214,1
2021-06,66789217,1
2021-06,66789232,1
2021-06,66789243,1
2021-06,66789252,1
2021-06,66789255,1
2021-06,66789269,2
2021-06,66789431,1
2021-06,66789478,3
2021-06,66789533,8
2021-06,66789589,1
2021-06,66789594,1
2021-06,66789646,1
2021-06,66789673,3
2021-06,66789689,6
2021-06,66789753,1
2021-06,66789908,3
2021-06,66789965,2
2021-06,66789989,1
2021-06,66790107,1
2021-06,66790129,4
2021-06,66790225,1
2021-06,66790241,1
2021-06,66790361,4
2021-06,66790423,1
2021-06,66790426,6
2021-06,66790499,5
2021-06,66790557,5
2021-06,66790560,2
2021-06,66790614,1
2021-06,66790694,2
2021-06,66790729,2
2021-06,66790733,3
2021-06,66790753,4
2021-06,66790881,2
2021-06,66791061,1
2021-06,66791115,5
2021-06,66791148,1
2021-06,66791213,3
2021-06,66791228,3
2021-06,66791252,1
2021-06,66791291,2
2021-06,66791302,2
2021-06,66791343,2
2021-06,66791432,2
2021-06,66791507,2
2021-06,66791541,1
2021-06,66791566,1
2021-06,66791607,1
2021-06,66791644,2
2021-06,66791699,10
2021-06,66791842,2
2021-06,66791931,2
2021-06,66791984,5
2021-06,66792220,8
2021-06,66792227,2
2021-06,66792256,1
2021-06,66792313,2
2021-06,66792347,1
2021-06,66792348,1
2021-06,66792354,2
2021-06,66792378,5
2021-06,66792390,3
2021-06,66792458,3
2021-06,66792500,1
2021-06,66792513,5
2021-06,66792543,4
2021-06,66792585,4
2021-06,66792634,1
2021-06,66792641,3
2021-06,66792680,1
2021-06,66792767,1
2021-06,66792768,5
2021-06,66793000,2
2021-06,66793001,1
2021-06,66793004,2
2021-06,66793041,2
2021-06,66793057,2
2021-06,66793102,1
2021-06,66793104,2
2021-06,66793118,3
2021-06,66793132,1
2021-06,66793364,2
2021-06,66793498,1
2021-06,66793510,4
2021-06,66793581,1
2021-06,66793595,6
2021-06,66793661,1
2021-06,66793716,4
2021-06,66793731,4
2021-06,66793748,3
2021-06,66793758,4
2021-06,66793783,1
2021-06,66793816,2
2021-06,66793842,7
2021-06,66793972,1
2021-06,66794002,1
2021-06,66794042,2
2021-06,66794060,1
2021-06,66794064,1
2021-06,66794073,7
2021-06,66794144,3
2021-06,66794250,2
2021-06,66794409,1
2021-06,66794423,1
2021-06,66794451,1
2021-06,66794475,1
2021-06,66794484,2
2021-06,66794503,5
2021-06,66794543,2
2021-06,66794578,1
2021-06,66794587,1
2021-06,66794678,2
2021-06,66794702,3
2021-06,66794764,2
2021-06,66794829,2
2021-06,66794852,2
2021-06,66794866,1
2021-06,66795005,1
2021-06,66795062,7
2021-06,66795115,1
2021-06,66795282,3
2021-06,66795296,1
2021-06,66795299,1
2021-06,66795334,1
2021-06,66795447,1
2021-06,66795486,1
2021-06,66795488,3
2021-06,66795490,1
2021-06,66795505,2
2021-06,66795511,2
2021-06,66795563,1
2021-06,66795612,1
2021-06,66795614,3
2021-06,66795676,6
2021-06,66795731,1
2021-06,66795789,3
2021-06,66795844,1
2021-06,66795930,1
2021-06,66796023,1
2021-06,66796077,2
2021-06,66796109,2
2021-06,66796159,1
2021-06,66796394,5
2021-06,66966469,1
2021-06,67281906,3
2021-06,67308599,1
2021-06,67321925,2
2021-07,65537801,3
2021-07,65549276,6
2021-07,65570608,8
2021-07,65571284,1
2021-07,65572010,7
2021-07,65573050,3
2021-07,65577914,2
2021-07,65578779,1
2021-07,65579462,2
2021-07,65579541,1
2021-07,65582404,1
2021-07,65583403,1
2021-07,65584370,3
2021-07,65587093,1
2021-07,65589806,1
2021-07,65597784,1
2021-07,65600881,1
2021-07,65603021,4
2021-07,65628748,4
2021-07,65645681,6
2021-07,65647327,9
2021-07,65773814,2
2021-07,65785145,2
2021-07,65911915,3
2021-07,65971877,3
2021-07,66016661,1
2021-07,66025049,1
2021-07,66036123,2
2021-07,66057793,1
2021-07,66068813,1
2021-07,66083144,1
2021-07,66108497,3
2021-07,66114925,3
2021-07,66162566,1
2021-07,66169544,6
2021-07,66241894,3
2021-07,66289123,1
2021-07,66317256,3
2021-07,66345392,23
2021-07,66355528,3
2021-07,66358935,1
2021-07,66372288,3
2021-07,66372677,4
2021-07,66408844,1
2021-07,66421705,1
2021-07,66422161,1
2021-07,66462565,1
2021-07,66462939,2
2021-07,66467375,7
2021-07,66469052,11
2021-07,66472938,1
2021-07,66479520,1
2021-07,66491345,9
2021-07,66498189,2
2021-07,66522878,1
2021-07,66525168,2
2021-07,66537559,12
2021-07,66561547,3
2021-07,66565734,1
2021-07,66569495,2
2021-07,66604116,3
2021-07,66639949,1
2021-07,66654064,1
2021-07,66659628,1
2021-07,66670911,1
2021-07,66711959,3
2021-07,66781398,1
2021-07,66781448,1
2021-07,66781465,2
2021-07,66781565,1
2021-07,66781627,1
2021-07,66781658,6
2021-07,66781689,8
2021-07,66781906,1
2021-07,66782083,1
2021-07,66782154,2
2021-07,66782172,2
2021-07,66782209,2
2021-07,66782212,1
2021-07,66782253,1
2021-07,66782280,5
2021-07,66782476,4
2021-07,66782533,4
2021-07,66782595,5
2021-07,66782679,4
2021-07,66782684,1
2021-07,66782722,1
2021-07,66782847,2
2021-07,66782881,1
2021-07,66782933,3
2021-07,66783020,3
2021-07,66783085,1
2021-07,66783117,3
2021-07,66783183,3
2021-07,66783188,4
2021-07,66783222,1
2021-07,66783247,2
2021-07,66783294,2
2021-07,66783309,2
2021-07,66783348,5
2021-07,66783408,2
2021-07,66783501,1
2021-07,66783556,1
2021-07,66783635,1
2021-07,66783641,2
2021-07,66783654,1
2021-07,66783696,3
2021-07,66783711,1
2021-07,66783731,2
2021-07,66783806,1
2021-07,66783847,2
2021-07,66783862,1
2021-07,66783919,2
2021-07,66784147,3
2021-07,66784244,1
2021-07,66784246,1
2021-07,66784292,1
2021-07,66784341,1
2021-07,66784343,1
2021-07,66784531,1
2021-07,66784624,2
2021-07,66784634,4
2021-07,66784637,9
2021-07,66784716,3
2021-07,66784775,4
2021-07,66784875,2
2021-07,66784921,1
2021-07,66785005,5
2021-07,66785025,1
2021-07,66785028,6
2021-07,66785109,1
2021-07,66785130,1
2021-07,66785170,4
2021-07,66785197,1
2021-07,66785218,3
2021-07,66785233,3
2021-07,66785253,1
2021-07,66785260,1
2021-07,66785299,1
2021-07,66785323,1
2021-07,66785352,1
2021-07,66785388,1
2021-07,66785470,1
2021-07,66785668,14
2021-07,66785680,2
2021-07,66785701,2
2021-07,66785706,2
2021-07,66785707,1
2021-07,66785787,3
2021-07,66785811,3
2021-07,66785828,1
2021-07,66785865,2
2021-07,66785986,1
2021-07,66786026,8
2021-07,66786189,1
2021-07,66786214,1
2021-07,66786229,1
2021-07,66786250,5
2021-07,66786266,5
2021-07,66786332,1
2021-07,66786388,6
2021-07,66786442,1
2021-07,66786643,2
2021-07,66786704,3
2021-07,66786771,1
2021-07,66786817,2
2021-07,66786827,2
2021-07,66786830,6
2021-07,66786869,2
2021-07,66787026,11
2021-07,66787048,4
2021-07,66787079,1
2021-07,66787098,4
2021-07,66787236,1
2021-07,66787272,3
2021-07,66787276,5
2021-07,66787365,2
2021-07,66787381,1
2021-07,66787407,5
2021-07,66787500,1
2021-07,66787509,3
2021-07,66787533,1
2021-07,66787639,2
2021-07,66787661,1
2021-07,66787667,1
2021-07,66787797,1
2021-07,66787818,1
2021-07,66787825,2
2021-07,66787894,1
2021-07,66787897,1
2021-07,66787949,6
2021-07,66787966,1
2021-07,66788003,5
2021-07,66788004,3
2021-07,66788089,1
2021-07,66788113,1
2021-07,66788140,1
2021-07,66788171,1
2021-07,66788265,2
2021-07,66788320,13
2021-07,66788432,1
2021-07,66788477,1
2021-07,66788588,5
2021-07,66788589,1
2021-07,66788591,1
2021-07,66788611,2
2021-07,66788654,1
2021-07,66788677,1
2021-07,66788695,2
2021-07,66788696,5
2021-07,66788971,8
2021-07,66788979,1
2021-07,66789086,3
2021-07,66789117,14
2021-07,66789134,3
2021-07,66789138,8
2021-07,66789145,1
2021-07,66789156,1
2021-07,66789214,1
2021-07,66789217,1
2021-07,66789232,1
2021-07,66789243,1
2021-07,66789252,1
2021-07,66789255,1
2021-07,66789269,2
2021-07,66789431,1
2021-07,66789478,3
2021-07,66789533,8
2021-07,66789589,1
2021-07,66789590,1
2021-07,66789594,1
2021-07,66789646,1
2021-07,66789673,3
2021-07,66789689,7
2021-07,66789753,1
2021-07,66789908,3
2021-07,66789916,2
2021-07,66789965,2
2021-07,66789989,1
2021-07,66790107,1
2021-07,66790129,5
2021-07,66790225,1
2021-07,66790241,1
2021-07,66790361,4
2021-07,66790423,1
2021-07,66790426,6
2021-07,66790499,5
2021-07,66790557,5
2021-07,66790560,2
2021-07,66790614,1
2021-07,66790694,2
2021-07,66790729,2
2021-07,66790733,3
2021-07,66790753,5
2021-07,66790881,2
2021-07,66791061,1
2021-07,66791115,5
2021-07,66791148,1
2021-07,66791213,3
2021-07,66791228,3
2021-07,66791252,1
2021-07,66791291,2
2021-07,66791302,2
2021-07,66791343,2
2021-07,66791432,2
2021-07,66791507,2
2021-07,66791541,1
2021-07,66791566,1
2021-07,66791607,1
2021-07,66791644,2
2021-07,66791699,10
2021-07,66791842,2
2021-07,66791931,2
2021-07,66791984,5
2021-07,66792220,8
2021-07,66792227,2
2021-07,66792256,1
2021-07,66792313,2
2021-07,66792347,1
2021-07,66792348,1
2021-07,66792354,2
2021-07,66792378,5
2021-07,66792390,3
2021-07,66792458,3
2021-07,66792500,1
2021-07,66792513,5
2021-07,66792543,4
2021-07,66792585,4
2021-07,66792634,1
2021-07,66792641,3
2021-07,66792680,1
2021-07,66792767,1
2021-07,66792768,5
2021-07,66793000,2
2021-07,66793001,1
2021-07,66793004,2
2021-07,66793041,2
2021-07,66793057,2
2021-07,66793102,1
2021-07,66793104,2
2021-07,66793118,3
2021-07,66793132,1
2021-07,66793364,2
2021-07,66793498,1
2021-07,66793510,4
2021-07,66793581,1
2021-07,66793595,6
2021-07,66793661,1
2021-07,66793716,4
2021-07,66793731,4
2021-07,66793748,3
2021-07,66793758,4
2021-07,66793783,1
2021-07,66793816,2
2021-07,66793842,10
2021-07,66793972,1
2021-07,66794002,1
2021-07,66794042,2
2021-07,66794060,1
2021-07,66794064,1
2021-07,66794073,7
2021-07,66794144,3
2021-07,66794250,5
2021-07,66794409,3
2021-07,66794423,1
2021-07,66794451,1
2021-07,66794475,1
2021-07,66794484,2
2021-07,66794503,6
2021-07,66794543,2
2021-07,66794578,1
2021-07,66794587,1
2021-07,66794678,2
2021-07,66794702,3
2021-07,66794764,2
2021-07,66794829,2
2021-07,66794852,2
2021-07,66794866,1
2021-07,66795005,1
2021-07,66795062,7
2021-07,66795115,1
2021-07,66795282,3
2021-07,66795296,1
2021-07,66795299,1
2021-07,66795334,1
2021-07,66795447,1
2021-07,66795486,1
2021-07,66795488,3
2021-07,66795490,1
2021-07,66795505,2
2021-07,66795511,3
2021-07,66795563,1
2021-07,66795577,1
2021-07,66795612,1
2021-07,66795614,3
2021-07,66795676,6
2021-07,66795731,2
2021-07,66795789,3
2021-07,66795844,1
2021-07,66795930,1
2021-07,66796023,1
2021-07,66796077,2
2021-07,66796109,2
2021-07,66796159,1
2021-07,66796394,6
2021-07,66966469,1
2021-07,67281906,3
2021-07,67308599,1
2021-07,67321925,2
2021-07,67762034,2
2021-07,67882546,1
2021-07,67984313,5
2021-07,68159983,3
2021-07,68161551,1
2021-07,68226637,1
2021-07,68284696,3
2021-07,68294150,1
2021-07,68319224,1
2021-07,68397329,4
2021-07,68407472,4
2021-07,68428083,1
2021-07,68465354,3
2021-07,68630883,1
2021-07,68659213,3
2021-07,68730647,1
2021-07,68775025,1
2021-07,68784589,1
2021-07,68802002,1
2021-07,68814995,1
2021-07,68957726,2
2021-07,69007095,1
2021-07,69073455,1
2021-07,69088429,5
2021-07,69258638,1
2021-07,69286027,7
2021-07,69679089,1
2021-07,69697403,1
2021-07,69702027,2
2021-08,65537801,3
2021-08,65549276,6
2021-08,65570608,8
2021-08,65571284,1
2021-08,65572010,7
2021-08,65573050,3
2021-08,65577914,2
2021-08,65578779,1
2021-08,65579462,2
2021-08,65579541,1
2021-08,65582404,1
2021-08,65583403,1
2021-08,65584370,3
2021-08,65584639,1
2021-08,65587093,1
2021-08,65589806,1
2021-08,65592782,2
2021-08,65597784,1
2021-08,65600881,1
2021-08,65603021,4
2021-08,65628748,4
2021-08,65645681,6
2021-08,65647327,9
2021-08,65773814,2
2021-08,65785145,2
2021-08,65911915,3
2021-08,65971877,3
2021-08,66016661,1
2021-08,66025049,1
2021-08,66036123,2
2021-08,66057793,1
2021-08,66068813,1
2021-08,66083144,1
2021-08,66108497,3
2021-08,66114925,3
2021-08,66162566,1
2021-08,66169544,6
2021-08,66173302,1
2021-08,66184214,2
2021-08,66241894,3
2021-08,66289123,1
2021-08,66317256,3
2021-08,66345392,23
2021-08,66355528,3
2021-08,66358935,1
2021-08,66372288,7
2021-08,66372677,4
2021-08,66408844,1
2021-08,66421705,1
2021-08,66422161,1
2021-08,66462565,1
2021-08,66462939,2
2021-08,66467375,7
2021-08,66469052,11
2021-08,66472938,1
2021-08,66479520,1
2021-08,66491345,9
2021-08,66498189,2
2021-08,66522878,1
2021-08,66525168,2
2021-08,66537559,12
2021-08,66561547,3
2021-08,66565734,1
2021-08,66569495,2
2021-08,66604116,3
2021-08,66611839,3
2021-08,66639949,1
2021-08,66654064,1
2021-08,66659628,1
2021-08,66670911,1
2021-08,66711959,3
2021-08,66735956,1
2021-08,66781398,1
2021-08,66781448,1
2021-08,66781465,2
2021-08,66781565,1
2021-08,66781582,3
2021-08,66781627,1
2021-08,66781658,6
2021-08,66781689,8
2021-08,66781906,1
2021-08,66782083,1
2021-08,66782154,2
2021-08,66782172,2
2021-08,66782209,2
2021-08,66782212,1
2021-08,66782253,1
2021-08,66782280,5
2021-08,66782476,4
2021-08,66782533,4
2021-08,66782595,5
2021-08,66782679,4
2021-08,66782684,1
2021-08,66782722,1
2021-08,66782847,2
2021-08,66782881,1
2021-08,66782933,4
2021-08,66783020,3
2021-08,66783085,1
2021-08,66783117,3
2021-08,66783183,3
2021-08,66783188,4
2021-08,66783222,1
2021-08,66783247,2
2021-08,66783294,2
2021-08,66783309,2
2021-08,66783348,5
2021-08,66783408,2
2021-08,66783501,1
2021-08,66783556,1
2021-08,66783635,1
2021-08,66783641,2
2021-08,66783654,1
2021-08,66783696,3
2021-08,66783711,1
2021-08,66783731,2
2021-08,66783806,1
2021-08,66783847,2
2021-08,66783862,1
2021-08,66783919,2
2021-08,66784147,3
2021-08,66784244,1
2021-08,66784246,1
2021-08,66784292,1
2021-08,66784341,1
2021-08,66784343,1
2021-08,66784531,1
2021-08,66784624,2
2021-08,66784634,4
2021-08,66784637,9
2021-08,66784716,3
2021-08,66784775,4
2021-08,66784875,2
2021-08,66784921,1
2021-08,66785005,5
2021-08,66785025,1
2021-08,66785028,6
2021-08,66785109,1
2021-08,66785130,1
2021-08,66785170,4
2021-08,66785197,1
2021-08,66785218,3
2021-08,66785233,3
2021-08,66785253,1
2021-08,66785260,1
2021-08,66785299,1
2021-08,66785323,1
2021-08,66785352,1
2021-08,66785388,1
2021-08,66785414,8
2021-08,66785470,1
2021-08,66785668,14
2021-08,66785680,2
2021-08,66785701,2
2021-08,66785706,2
2021-08,66785707,1
2021-08,66785753,1
2021-08,66785787,3
2021-08,66785811,3
2021-08,66785828,1
2021-08,66785865,2
2021-08,66785986,1
2021-08,66786026,8
2021-08,66786189,1
2021-08,66786214,1
2021-08,66786229,1
2021-08,66786250,5
2021-08,66786266,5
2021-08,66786332,1
2021-08,66786387,5
2021-08,66786388,6
2021-08,66786442,1
2021-08,66786643,2
2021-08,66786704,3
