customer_id,external_customer_id,accepts_marketing,orders_count,number_active_subscriptions,number_subscriptions,first_charge_processed_at,created_at
65164691,3.54585E+12,0,0,0,1,,5/16/21 22:52
65434304,3.39504E+12,0,2,0,5,5/21/21 16:18,5/21/21 16:18
65438247,5.12665E+12,0,2,0,2,5/21/21 17:31,5/21/21 17:31
65438722,5.12666E+12,0,1,0,5,5/21/21 17:36,5/21/21 17:36
65443163,5.12672E+12,0,4,0,2,5/21/21 18:49,5/21/21 18:49
65448290,5.12684E+12,0,4,0,2,5/21/21 21:14,5/21/21 21:14
65448995,1.08568E+12,1,1,0,9,5/21/21 21:33,5/21/21 21:33
65452462,3.51648E+12,0,10,0,1,5/21/21 23:20,5/21/21 23:20
65454121,5.12698E+12,0,1,0,1,5/22/21 0:26,5/22/21 0:26
65454582,5.12699E+12,0,1,0,1,5/22/21 0:46,5/22/21 0:46
65454602,5.07988E+12,0,9,0,11,5/22/21 0:47,5/22/21 0:47
65455698,5.12702E+12,0,1,0,1,5/22/21 1:41,5/22/21 1:41
65456112,7.94836E+11,1,8,1,13,5/22/21 2:04,5/22/21 2:04
65462495,5.1272E+12,0,2,0,2,5/22/21 8:02,5/22/21 8:02
65468909,7.49042E+11,0,14,2,34,5/22/21 10:38,5/22/21 10:38
65470164,3.36157E+12,0,4,0,4,5/22/21 11:05,5/22/21 11:05
65471841,3.38371E+12,0,4,0,10,5/22/21 11:40,5/22/21 11:40
65473488,3.44962E+12,0,5,0,6,5/22/21 12:15,5/22/21 12:15
65475359,5.12672E+12,0,1,0,2,5/22/21 12:56,5/22/21 12:56
65475861,5.0821E+12,1,32,9,51,5/22/21 13:06,5/22/21 13:06
65479791,5.10997E+12,0,12,1,7,5/22/21 14:30,5/22/21 14:30
65490949,2.9927E+12,1,10,0,12,5/22/21 19:07,5/22/21 19:07
65493993,5.1279E+12,0,2,0,5,5/22/21 20:36,5/22/21 20:36
65497222,2.01446E+12,0,16,2,7,5/22/21 22:12,5/22/21 22:11
65498518,6.26951E+11,0,29,4,47,5/22/21 22:51,5/22/21 22:50
65502713,2.06131E+12,1,5,5,17,5/23/21 1:51,5/23/21 1:51
65507997,5.12823E+12,0,2,0,0,5/23/21 7:32,5/23/21 7:32
65510307,5.11154E+12,0,6,0,2,5/23/21 8:50,5/23/21 8:50
65510460,2.29178E+12,0,2,0,2,5/23/21 8:54,5/23/21 8:54
65515778,5.09403E+12,0,2,0,11,5/23/21 11:01,5/23/21 11:01
65524341,2.24473E+12,1,2,0,23,5/23/21 13:50,5/23/21 13:50
65526446,5.11221E+12,0,9,0,10,5/23/21 14:32,5/23/21 14:31
65527859,2.90118E+12,0,2,0,3,5/23/21 15:01,5/23/21 15:00
65529068,3.39444E+12,0,2,0,2,5/23/21 15:25,5/23/21 15:25
65529781,5.09042E+12,0,4,0,5,5/23/21 15:40,5/23/21 15:40
65537801,5.05727E+12,1,21,3,3,5/23/21 18:32,5/23/21 18:32
65539151,5.12896E+12,0,8,0,2,5/23/21 19:03,5/23/21 19:03
65544575,5.12928E+12,0,3,0,1,5/23/21 21:13,5/23/21 21:13
65549187,5.12947E+12,0,24,6,11,5/23/21 23:06,5/23/21 23:06
65549276,3.44518E+12,0,92,30,41,5/23/21 23:09,5/23/21 23:09
65549548,5.09918E+12,0,2,0,4,5/23/21 23:17,5/23/21 23:17
65551721,5.1296E+12,1,4,0,1,5/24/21 0:28,5/24/21 0:28
65558181,2.54809E+12,1,27,0,15,5/24/21 6:41,5/24/21 6:41
65560128,5.02549E+12,1,6,0,6,5/24/21 8:01,5/24/21 8:01
65565160,2.7836E+12,0,22,0,63,5/24/21 10:04,5/24/21 10:04
65567402,3.34005E+12,1,16,7,40,5/24/21 10:51,5/24/21 10:51
65567521,2.7696E+12,1,14,0,10,5/24/21 10:53,5/24/21 10:53
65568415,5.13006E+12,1,15,0,8,5/24/21 11:10,5/24/21 11:10
65569944,1.0411E+12,0,2,0,32,5/24/21 11:38,5/24/21 11:38
65570454,5.13012E+12,0,12,0,6,5/24/21 11:47,5/24/21 11:47
65570582,2.08917E+12,0,12,0,47,5/24/21 11:50,5/24/21 11:50
65570608,2.96725E+12,1,30,15,62,5/24/21 11:51,5/24/21 11:51
65570743,3.51069E+12,1,14,0,38,5/24/21 11:53,5/24/21 11:53
65570887,2.98069E+12,1,22,0,70,5/24/21 11:56,5/24/21 11:56
65571096,3.40505E+11,0,5,0,12,5/24/21 12:00,5/24/21 12:00
65571238,2.52109E+12,1,15,25,129,5/24/21 12:03,5/24/21 12:03
65571284,5.13014E+12,1,28,3,11,5/24/21 12:04,5/24/21 12:04
65571314,2.91228E+12,1,3,0,3,5/24/21 12:05,5/24/21 12:05
65571394,3.51228E+12,0,5,0,11,5/24/21 12:07,5/24/21 12:07
65571912,5.09005E+12,0,2,0,6,5/24/21 12:17,5/24/21 12:17
65572010,2.8594E+12,1,24,10,33,5/24/21 12:19,5/24/21 12:19
65572282,2.85895E+12,0,4,0,2,5/24/21 12:25,5/24/21 12:25
65572616,2.98718E+12,0,14,4,44,5/24/21 12:31,5/24/21 12:31
65572749,5.07625E+12,1,21,2,3,5/24/21 12:34,5/24/21 12:34
65572758,2.20005E+12,1,21,4,124,5/24/21 12:34,5/24/21 12:34
65572946,3.51464E+12,0,6,0,1,5/24/21 12:37,5/24/21 12:37
65573050,5.04664E+12,1,24,8,20,5/24/21 12:53,5/24/21 12:39
65573054,5.11227E+12,0,48,3,63,5/24/21 12:39,5/24/21 12:39
65573103,2.68998E+12,0,21,5,68,5/24/21 12:40,5/24/21 12:40
65573377,2.92466E+12,1,3,0,22,5/24/21 12:45,5/24/21 12:45
65573396,2.75431E+12,0,1,0,24,5/24/21 12:45,5/24/21 12:45
65573893,3.51187E+12,1,6,0,19,5/24/21 12:54,5/24/21 12:54
65574108,3.50766E+12,1,6,0,3,5/24/21 12:58,5/24/21 12:58
65574335,1.76451E+12,1,11,1,43,5/24/21 13:03,5/24/21 13:03
65574438,5.02641E+12,1,5,0,4,5/24/21 13:05,5/24/21 13:05
65574703,3.2867E+12,0,9,11,64,5/24/21 13:10,5/24/21 13:10
65575585,5.0874E+12,,6,0,12,5/27/21 3:06,5/24/21 13:26
65575627,2.79998E+12,1,27,4,20,5/24/21 13:27,5/24/21 13:27
65575694,2.08934E+12,0,23,2,32,5/24/21 13:28,5/24/21 13:28
65576275,5.06814E+12,1,17,9,47,5/24/21 13:38,5/24/21 13:38
65576809,5.13026E+12,1,11,6,23,5/24/21 13:48,5/24/21 13:48
65576903,5.13026E+12,0,2,0,2,5/24/21 13:50,5/24/21 13:49
65577079,3.2232E+12,0,9,0,21,5/24/21 18:51,5/24/21 13:52
65577083,2.88262E+12,1,17,0,35,5/24/21 13:52,5/24/21 13:52
65577112,5.06207E+12,0,5,2,8,5/24/21 13:53,5/24/21 13:53
65577230,3.27683E+12,1,12,2,39,5/24/21 13:55,5/24/21 13:55
65577832,5.13026E+12,0,3,0,2,5/24/21 14:05,5/24/21 14:04
65577914,5.13029E+12,0,22,2,2,5/24/21 14:06,5/24/21 14:06
65578474,2.88266E+12,0,12,2,15,5/24/21 14:15,5/24/21 14:15
65578779,2.44023E+12,1,3,7,28,5/24/21 14:21,5/24/21 14:21
65578892,3.22938E+12,1,8,6,21,5/24/21 14:23,5/24/21 14:23
65578990,5.05847E+12,0,1,0,9,5/24/21 14:25,5/24/21 14:25
65579008,2.69182E+12,1,14,4,17,5/24/21 14:25,5/24/21 14:25
65579458,6.26593E+11,1,6,0,4,5/24/21 14:33,5/24/21 14:33
65579462,3.10769E+12,0,25,3,19,5/24/21 14:33,5/24/21 14:33
65579541,5.0425E+12,1,8,2,19,5/24/21 14:35,5/24/21 14:35
65580702,5.08324E+12,0,12,0,19,5/24/21 14:56,5/24/21 14:56
65581113,2.82268E+12,1,19,4,49,5/24/21 15:03,5/24/21 15:03
65581362,3.5586E+12,0,16,0,10,5/24/21 15:08,5/24/21 15:08
65581797,3.28123E+12,1,9,0,36,5/24/21 15:16,5/24/21 15:16
65582042,2.68731E+12,1,23,3,44,5/24/21 15:21,5/24/21 15:21
65582204,5.08002E+12,0,3,0,2,5/24/21 15:24,5/24/21 15:24
65582274,2.89981E+12,0,1,0,2,5/24/21 15:25,5/24/21 15:25
65582404,5.13038E+12,0,18,3,6,5/24/21 15:28,5/24/21 15:28
65582940,5.13039E+12,0,1,0,1,5/24/21 15:38,5/24/21 15:38
65583403,3.51585E+12,1,25,2,21,5/24/21 15:46,5/24/21 15:46
65584370,5.05283E+12,1,29,5,14,5/24/21 16:04,5/24/21 16:04
65584639,2.83557E+12,1,20,5,38,5/24/21 16:09,5/24/21 16:09
65584967,5.02848E+12,1,7,0,2,5/24/21 16:15,5/24/21 16:15
65585116,5.13044E+12,0,1,0,1,5/24/21 16:18,5/24/21 16:18
65585896,3.33783E+12,1,19,5,193,5/24/21 16:33,5/24/21 16:33
65585993,2.1116E+12,1,14,8,69,5/24/21 16:35,5/24/21 16:35
65587093,3.05728E+12,1,9,3,9,5/24/21 16:56,5/24/21 16:56
65587355,3.53882E+12,0,21,0,21,5/24/21 17:00,5/24/21 17:00
65588040,3.51558E+12,0,10,3,14,5/24/21 17:14,5/24/21 17:14
65588203,5.13047E+12,0,1,0,3,5/24/21 17:18,5/24/21 17:17
65588929,3.23346E+12,0,9,3,37,5/24/21 17:32,5/24/21 17:32
65589254,2.21778E+12,1,24,5,54,5/24/21 17:39,5/24/21 17:39
65589522,2.23129E+12,0,5,0,95,5/24/21 17:44,5/24/21 17:44
65589683,3.16677E+12,1,6,0,25,5/24/21 17:48,5/24/21 17:48
65589806,2.98231E+12,1,27,5,18,5/24/21 17:51,5/24/21 17:51
65591238,7.25069E+11,0,1,0,3,5/24/21 18:23,5/24/21 18:22
65592150,3.11335E+12,0,15,1,22,5/24/21 18:45,5/24/21 18:44
65592319,3.50143E+12,0,4,0,4,5/24/21 18:49,5/24/21 18:49
65592773,5.04294E+12,1,6,0,4,5/24/21 19:00,5/24/21 19:00
65592782,2.45521E+12,1,6,11,30,5/24/21 19:00,5/24/21 19:00
65593877,5.02511E+12,0,10,0,16,5/24/21 19:26,5/24/21 19:26
65594785,3.2658E+12,0,15,0,71,5/24/21 19:46,5/24/21 19:46
65595883,5.05091E+12,0,13,0,20,5/24/21 20:13,5/24/21 20:13
65595956,5.08181E+12,0,6,0,4,5/24/21 20:15,5/24/21 20:14
65597226,5.11278E+12,0,4,0,20,5/24/21 20:43,5/24/21 20:43
65597784,3.12215E+12,1,4,5,13,5/24/21 20:56,5/24/21 20:56
65600881,2.987E+12,0,13,2,13,5/24/21 22:08,5/24/21 22:08
65601088,2.78673E+12,0,24,0,25,5/24/21 22:13,5/24/21 22:13
65602973,3.31632E+12,0,16,4,90,5/24/21 23:00,5/24/21 23:00
65603021,3.05953E+12,0,36,4,24,5/24/21 23:01,5/24/21 23:01
65604136,3.2169E+12,1,14,2,80,5/24/21 23:34,5/24/21 23:34
65604235,2.97205E+12,1,8,0,13,5/24/21 23:37,5/24/21 23:37
65604947,7.35158E+11,1,35,16,123,5/25/21 0:00,5/24/21 23:59
65605575,5.13077E+12,0,5,0,1,5/25/21 0:21,5/25/21 0:21
65605819,3.20962E+12,1,2,0,0,5/25/21 0:30,5/25/21 0:30
65606285,2.81335E+12,0,11,0,69,5/25/21 0:49,5/25/21 0:49
65606400,4.68924E+11,1,59,5,45,5/25/21 0:54,5/25/21 0:54
65607116,5.11555E+12,0,4,0,1,5/25/21 1:27,5/25/21 1:27
65607616,1.79549E+12,1,13,0,95,5/25/21 1:53,5/25/21 1:53
65608385,5.05186E+12,1,10,6,35,5/25/21 2:40,5/25/21 2:40
65614897,3.31316E+12,1,12,5,22,5/25/21 8:11,5/25/21 8:11
65618758,5.04002E+12,1,1,0,3,5/25/21 9:46,5/25/21 9:46
65620352,3.31264E+12,1,11,0,47,5/25/21 10:20,5/25/21 10:20
65620951,5.04439E+12,0,5,0,1,5/25/21 10:32,5/25/21 10:32
65621192,5.04611E+12,1,2,0,1,5/25/21 10:39,5/25/21 10:39
65621605,2.86794E+12,1,15,0,94,5/25/21 10:48,5/25/21 10:48
65622458,3.16239E+12,0,7,0,36,5/25/21 11:05,5/25/21 11:05
65622571,5.1301E+12,1,19,4,8,5/25/21 11:08,5/25/21 11:08
65623413,5.13131E+12,0,2,0,3,5/25/21 11:24,5/25/21 11:24
65623568,3.33124E+12,1,11,0,8,5/25/21 11:27,5/25/21 11:27
65625307,3.52678E+12,1,22,3,16,5/25/21 12:01,5/25/21 12:01
65625314,5.08594E+12,1,2,0,7,5/25/21 12:02,5/25/21 12:02
65625745,5.10889E+12,,2,0,1,5/25/21 12:15,5/25/21 12:09
65626111,2.96504E+12,1,4,0,48,5/25/21 12:15,5/25/21 12:15
65626497,5.06993E+12,0,2,0,8,5/25/21 12:21,5/25/21 12:21
65626532,5.09941E+12,0,6,0,1,5/25/21 12:22,5/25/21 12:22
65626909,3.53048E+12,,7,0,2,7/6/21 16:16,5/25/21 12:29
65628598,2.80394E+12,0,4,0,3,5/25/21 13:01,5/25/21 13:01
65628748,3.04293E+12,1,23,3,26,5/25/21 13:04,5/25/21 13:04
65629130,5.13144E+12,1,17,10,20,5/25/21 13:12,5/25/21 13:12
65629260,5.13144E+12,0,5,0,1,5/25/21 13:14,5/25/21 13:14
65630022,5.13148E+12,0,10,7,23,5/25/21 13:28,5/25/21 13:28
65630396,5.08662E+12,0,1,0,5,5/25/21 13:35,5/25/21 13:35
65630708,2.85924E+12,0,9,10,43,5/25/21 13:40,5/25/21 13:40
65630890,5.10407E+12,0,4,0,7,5/25/21 13:44,5/25/21 13:44
65631093,3.42845E+12,0,1,0,24,5/25/21 13:47,5/25/21 13:47
65631414,3.41903E+12,0,2,0,5,5/25/21 13:53,5/25/21 13:53
65631530,3.53688E+12,0,4,0,4,5/25/21 13:55,5/25/21 13:55
65631744,3.25567E+12,0,6,0,4,5/25/21 13:58,5/25/21 13:58
65632419,5.13158E+12,,6,0,6,5/25/21 14:19,5/25/21 14:10
65632437,5.06013E+12,0,26,0,16,5/25/21 14:11,5/25/21 14:11
65632507,5.13032E+12,0,3,0,3,5/25/21 14:12,5/25/21 14:12
65633378,1.68213E+12,1,21,3,41,5/25/21 14:29,5/25/21 14:29
65633954,5.10943E+12,1,1,0,4,5/25/21 14:40,5/25/21 14:40
65634026,5.08052E+12,1,7,1,15,5/25/21 14:41,5/25/21 14:41
65634249,3.52997E+12,1,1,0,1,5/25/21 14:46,5/25/21 14:46
65634617,2.86523E+12,0,2,0,7,5/25/21 14:53,5/25/21 14:53
65634783,5.12488E+12,0,4,1,8,5/25/21 14:57,5/25/21 14:57
65634908,3.38685E+12,1,12,0,19,5/25/21 14:59,5/25/21 14:59
65634922,5.13151E+12,0,2,0,1,5/25/21 14:59,5/25/21 14:59
65635077,5.12161E+12,0,8,0,16,5/25/21 15:03,5/25/21 15:03
65635632,5.0387E+12,0,9,0,7,5/25/21 15:13,5/25/21 15:13
65635923,2.62716E+12,1,12,0,7,5/25/21 15:19,5/25/21 15:19
65636202,3.31258E+12,1,2,0,5,5/25/21 15:24,5/25/21 15:24
65636612,5.05184E+12,1,15,12,31,5/25/21 15:31,5/25/21 15:31
65637011,5.1317E+12,0,2,0,1,5/25/21 15:39,5/25/21 15:39
65637143,3.55917E+12,0,1,0,7,5/25/21 15:42,5/25/21 15:42
65637387,3.40378E+12,1,16,5,18,5/25/21 15:46,5/25/21 15:46
65637665,3.33729E+12,0,2,0,3,5/25/21 15:51,5/25/21 15:51
65638201,2.86403E+12,1,4,0,53,5/25/21 16:01,5/25/21 16:01
65638836,5.03802E+12,1,25,9,74,5/25/21 16:13,5/25/21 16:13
65639201,2.82106E+12,1,46,8,205,5/25/21 16:20,5/25/21 16:20
65639545,3.23267E+12,1,5,0,18,5/25/21 16:27,5/25/21 16:27
65639732,3.48869E+12,0,6,0,12,5/25/21 16:31,5/25/21 16:31
65639951,2.96394E+12,1,11,9,36,5/25/21 16:35,5/25/21 16:35
65640016,5.13168E+12,0,1,0,1,5/25/21 16:36,5/25/21 16:36
65640675,7.3731E+11,1,8,0,47,5/25/21 16:48,5/25/21 16:48
65641407,5.0341E+12,1,4,0,13,5/25/21 16:57,5/25/21 16:57
65641484,5.1318E+12,0,7,0,1,5/25/21 16:58,5/25/21 16:58
65643462,1.80467E+12,0,1,0,3,5/25/21 17:25,5/25/21 17:25
65643975,3.07249E+12,1,5,0,24,5/25/21 17:35,5/25/21 17:35
65644322,5.10809E+12,1,4,0,7,5/25/21 17:42,5/25/21 17:42
65644961,5.13187E+12,0,8,0,1,5/25/21 17:57,5/25/21 17:57
